Project ID,Project Name,Project Status,Construction Status,Plannning Approval Address,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,General Housing Program,Specific Program Area,Multiphase or Multisite Project Name,Redevelopment Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed Date,Issuance of Building Permit Date,Issuance of First Construction Document Date,Estimated/Actual Construction Start Date,Estimated Construction Completion Date,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Planning Entitlements,Entitlement Approval Date,Section 415 Declaration,Total Project Units,MOHCD Affordable Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2021-008,6424 3rd St,Pre-Construction,(3) Design with Entitlements Approved,6424 3rd St,94123,5470,2,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,05/12/2023,,Antrea Investments & Trading LLC,,,2014.1058,2014.1058CUA,05/13/2021,On-site BMR Project,17,2,12,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37.71984966,-122.3970521,"(37.71984966, -122.3970521)"
1992-008,Larkin Pine Senior Housing,Building Rehabilitation (Pre-Construction),(2) Predevelopment Feasibility,1303 Larkin St,94109,,,3,Nob Hill,Nob Hill,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,Rehabilitation,Rental,05/16/1991,02/01/2024,,,02/01/2024,06/01/2026,Chinatown Community Development Center,,Chinatown Community Development Center,,,,,68,62,91,60,0,2,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,37.79006501,-122.4192278,"(37.79006501, -122.4192278)"
2018-007,429 Beale (aka 430 Main),Pre-Construction,(3) Design with Entitlements Approved,429 Beale St,94105,3767,"305, 306",6,Financial District/South Beach,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,05/22/2020,,"Reuben, Junius & Rose, LLP",,,2014-002033PRJ,"2014-002033DNX,2014-002033ENV,2014-002033PPA,2014-002033TDM",05/24/2018,On-site BMR Project,144,19,13,0,8,3,8,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.78724763,-122.3902918,"(37.78724763, -122.3902918)"
2016-065,"HPSY I, Block 52 & 54",Construction,(5) First Construction Document Issued,151 Friedell St,94124,4591C,"043, 044, 047, 048",10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard I,HP Shipyard Phase 1,New Construction,Rental,,05/25/2023,04/23/2020,03/10/2023,05/25/2023,04/30/2025,Jonathan Rose Companies,Bayview Hunters Point Multipurpose Senior Services,Jonathan Rose Companies,Not Applicable,,04/04/2023,,112,110,98,0,0,49,29,23,8,1,18,110,0,0,0,0,0,0,0,4,9,97,0,0,0,0,0,0,0,0,0,0,0,37.72875492,-122.3691199,"(37.72875492, -122.3691199)"
2017-028,888 Tennessee,Pre-Construction,(3) Design with Entitlements Approved,888 Tennessee St,94107,4060,1,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,10/18/2019,,"Reuben, Junius & Rose, LLP",,,2013.0975,"2013.0975COA,2013.0975E,2013.0975ENX,2013.0975SHD,2013.0975TDM,2013.0975U",10/19/2017,On-site BMR Project,110,17,15,0,3,7,6,1,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,37.76076626,-122.3898843,"(37.76076626, -122.3898843)"
2023-037,5425 Mission,Pre-Construction,(2) Predevelopment Feasibility,5425 Mission St,94112,6468,19,11,Excelsior,Crocker Amazon,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,,,Sia Consulting Corp,,,,,,On-site BMR Project,29,6,21,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,37.71333159,-122.4434839,"(37.71333159, -122.4434839)"
2018-019,450 O'Farrell St,Construction,(4) Site Work Permit Issued,450 O'Farrell St,94102,317,"007, 009, 011",5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,05/13/2020,,09/11/2020,,450 O'Farrell Partners LLC,,,2013.1535,"2013.1535CUA,2013.1535ENV,2013.1535PPA,2013.1535SHD,2013.1535TDM,2013.1535U",09/13/2018,On-site BMR Project,176,23,13,0,5,9,9,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,37.78614584,-122.4122983,"(37.78614584, -122.4122983)"
2023-006,3300 Mission,Construction,(5) First Construction Document Issued,3300 Mission St,94110,6635,1,9,Bernal Heights,Bernal Heights,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,06/15/2023,11/20/2024,03/25/2024,,11/06/2024,,Bernal Heights Neighborhood Center,Tabernacle Community Development Corporation,,,,,,35,34,97,0,34,0,0,0,0,0,6,34,0,0,0,0,0,0,0,11,0,0,15,0,8,0,0,0,0,0,0,0,0,37.74389033,-122.4211557,"(37.74389033, -122.4211557)"
2020-028,383 6th Avenue ( 4200 Geary ),Construction,(5) First Construction Document Issued,4200 Geary Blvd,94118,1438,017A,1,Inner Richmond,Inner Richmond,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,04/03/2023,08/20/2021,03/24/2023,04/03/2023,04/17/2025,Tenderloin Neighborhood Development Corporation (TNDC),,"4200 Geary Associates, L.P.",2020-006779PRJ,,02/01/2021,,98,97,99,0,41,56,0,0,0,0,49,0,97,0,20,0,20,0,35,15,0,47,0,0,0,0,0,0,0,0,0,0,0,37.78128484,-122.4643342,"(37.78128484, -122.4643342)"
2020-013,Kelsey Civic Center,Construction,(5) First Construction Document Issued,240 Van Ness Ave,94102,811,19,5,Tenderloin,Downtown/Civic Center,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,04/20/2023,01/24/2022,02/09/2023,04/20/2023,04/09/2025,Mercy Housing CA,The Kelsey,,2020-010648PRJ,SB 35,06/03/2021,,112,110,98,0,79,0,31,0,0,0,17,0,0,0,0,28,0,0,0,0,0,30,0,24,56,0,0,0,0,0,0,0,0,37.77793811,-122.4194609,"(37.77793811, -122.4194609)"
2019-014,Laguna Honda Hospital Senior Housing,Pre-Construction,(2) Predevelopment Feasibility,375 Laguna Honda Blvd,94131,2842,7,7,Twin Peaks,Twin Peaks,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,03/01/2027,,,03/01/2027,,Mercy Housing CA,,,,,,,220,218,99,0,90,129,0,0,0,0,218,0,218,0,0,0,0,0,0,0,0,160,0,58,0,0,0,0,0,0,0,0,0,37.74772932,-122.4568649,"(37.74772932, -122.4568649)"
2023-030,Treasure Island Parcel C2.3,Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94130,,,6,Treasure Island,Treasure Island/YBI,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Treasure Island,Not in an OCII Project Area,New Construction,Ownership,,,,,,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,,,,On-site BMR Project,83,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,37.8196362,-122.3725617,"(37.8196362, -122.3725617)"
2023-015,469 Stevenson,Pre-Construction,(3) Design with Entitlements Approved,469 Stevenson St,94103,3704,45,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,04/18/2025,,Build Inc,,,2016-014833PRJ,,04/20/2023,On-site BMR Project; Fee Payment,495,66,13,0,26,19,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,14,0,0,0,14,0,0,0,0,37.78200175,-122.4088169,"(37.78200175, -122.4088169)"
2025-001,Transbay Block 4W (Senior),Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94105,,,6,Financial District/South Beach,Financial District,MOHCD/OCII,MOHCD 100% Affordable,Multifamily Rental Program,Transbay,Transbay,New Construction,Rental,,,,,,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,,,,,125,124,99,0,0,0,0,0,0,0,0,0,124,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,37.78958731,-122.3929844,"(37.78958731, -122.3929844)"
2020-025,4128 3rd St,Construction,(4) Site Work Permit Issued,4128 3rd St,94124,5260,36,10,Bayview Hunters Point,Bayview,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,,Bayview Hunters Point,New Construction,Ownership,,,06/29/2020,,04/06/2025,,,,,,,04/07/2020,,8,2,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,37.73998198,-122.3891071,"(37.73998198, -122.3891071)"
2023-032,Treasure Island Parcel C3.5,Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94130,,,6,Treasure Island,Treasure Island/YBI,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Treasure Island,Not in an OCII Project Area,New Construction,Ownership,,,,,,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,,,,On-site BMR Project,160,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,37.81967853,-122.3735633,"(37.81967853, -122.3735633)"
2019-025,3945 Judah St,Construction,(5) First Construction Document Issued,3945 Judah St,94122,1809,23,4,Sunset/Parkside,Outer Sunset,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,10/27/2021,05/11/2023,11/05/2021,10/01/2024,"Leavitt Architecture, Inc.",,,2018-000468PRJ,,11/07/2019,On-site BMR Project,20,5,25,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,37.76030616,-122.5044489,"(37.76030616, -122.5044489)"
2024-006,1633 Valencia,Construction,(5) First Construction Document Issued,1633 Valencia St,94110,6574,71,9,Bernal Heights,Bernal Heights,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,05/17/2024,05/20/2024,,,05/20/2024,,"Mercy Housing CA 108, LP",,"Mercy Housing CA 108, LP",2022-012441PRJ,,07/28/2023,,146,145,99,0,145,0,1,0,0,0,0,0,0,0,145,0,145,0,0,0,0,145,0,0,0,0,0,0,0,0,0,0,0,37.7476746,-122.4198405,"(37.7476746, -122.4198405)"
2018-001,1965 Market,Construction,(4) Site Work Permit Issued,1965 Market St,94103,3534,58,8,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,07/11/2019,,01/17/2020,,Keller Grover Properties,,,2015-002825PRJ,"2015-002825CUA,2015-002825ENV,2015-002825PPA",01/18/2018,On-site BMR Project,96,14,15,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,37.76947173,-122.4259903,"(37.76947173, -122.4259903)"
1995-019,Bernal Bundle Scattered Sites - Hazel Betsey,Building Rehabilitation (Construction),(5) First Construction Document Issued,3554 17th St,94110,,,8,Mission,Mission,SFRA,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,Rehabilitation,Rental,03/15/1996,05/15/2025,11/19/1996,,05/15/2025,02/01/2026,Bernal Heights Housing Corporation,,,,,,,9,9,100,0,6,3,0,0,0,0,0,9,0,0,9,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,37.76333888,-122.4250987,"(37.76333888, -122.4250987)"
2015-055,475 Minna,Pre-Construction,(3) Design with Entitlements Approved,475 Minna St,94103,3725,68,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,12/08/2017,,John Jensen,,,2018-016055PRJ,"2014.1442DNX,2014.1442ENV,2014.1442U",12/10/2015,On-site BMR Project,266,109,41,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,79,3,0,0,5,0,0,0,0,37.78092255,-122.4073045,"(37.78092255, -122.4073045)"
2023-009,249 Pennsylvania Family,Pre-Construction,(2) Predevelopment Feasibility,249 Pennsylvania Ave,94107,3999,15,10,Potrero Hill,Potrero Hill,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,01/01/2027,01/01/2027,01/01/2027,01/01/2027,01/01/2029,Tenderloin Neighborhood Development Corporation (TNDC),Young Community Developers,"249 Pennsylvania Associates, LP",,,,,120,119,99,0,50,0,39,30,0,0,12,119,0,0,60,0,60,0,0,60,0,18,0,27,14,0,0,0,0,0,0,0,0,37.76332479,-122.3933819,"(37.76332479, -122.3933819)"
2017-047,772 Pacific Ave,Pre-Construction,(2) Predevelopment Feasibility,772 Pacific Ave,94133,161,15,3,Chinatown,Chinatown,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,,05/01/2027,,,05/01/2027,11/30/2029,Chinatown Community Development Center,,,Not Yet Available,4/15/2024,,,175,174,99,0,124,50,1,0,0,0,0,0,174,0,44,0,44,0,0,44,0,5,55,70,0,0,0,0,0,0,0,0,0,37.79683641,-122.4078456,"(37.79683641, -122.4078456)"
2016-090,Mission Bay South 4 East,Pre-Construction,(1) Preliminary Phase,1144 3rd St,94158,8711,29,6,Mission Bay,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Mission Bay South,Mission Bay,New Construction,Rental,,12/01/2021,,,12/01/2021,01/01/2030,Curtis Development,,,Not Applicable,,,,165,164,99,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,37.77249388,-122.3900867,"(37.77249388, -122.3900867)"
2016-088,Transbay Block 2 West (Senior),Construction,(5) First Construction Document Issued,Address not yet assigned,94105,,,6,Financial District/South Beach,South of Market,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Transbay,Transbay,New Construction,Rental,,03/11/2024,10/24/2023,02/06/2024,03/11/2024,01/15/2026,Chinatown Community Development Center,,Chinatown Community Development Center,Not Applicable,,11/01/2022,,151,150,99,0,39,111,0,0,0,0,76,0,150,0,30,0,30,0,0,24,0,66,0,60,0,0,0,0,0,0,0,0,0,37.78912663,-122.3926576,"(37.78912663, -122.3926576)"
2020-040,725 Jamestown,Pre-Construction,(3) Design with Entitlements Approved,725 Jamestown Ave,94124,4991,276,10,Bayview Hunters Point,Bayview,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,07/23/2022,,"J. Abrams Law, PC",,,2019-002743PRJ,"2019-002743PPA, 2019-002743CRV",07/24/2020,On-site BMR Project; Fee Payment,122,22,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,37.71516937,-122.3893241,"(37.71516937, -122.3893241)"
2020-030,955 Post,Pre-Construction,(3) Design with Entitlements Approved,955 Post St,94109,302,21,3,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,11/18/2022,,"Reuben, Junius & Rose, LLP",,,2015-015950PRJ,,11/19/2020,On-site BMR Project,69,17,25,0,0,6,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,4,0,0,0,0,37.78683277,-122.4175236,"(37.78683277, -122.4175236)"
2016-047,"Block 48, Phase 2 (Blocks M, N1, N2, O, P)",Construction,(5) First Construction Document Issued,869 La Salle Ave,94124,4591D,5,10,Bayview Hunters Point,Bayview,OCII,Other Ownership Programs,Limited Equity Program,,HP Shipyard Phase 1,New Construction,Ownership,,07/01/2025,04/27/2017,06/30/2021,07/01/2025,04/01/2027,Lennar,,,Not Applicable,,03/03/2015,,87,11,13,0,0,3,8,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,37.72809077,-122.375704,"(37.72809077, -122.375704)"
2016-064,2435-2445 16th,Pre-Construction,(3) Design with Entitlements Approved,2345-2445 16th St,94110,3965,52,9,Mission,Mission,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,06/05/2019,,Steve Vettel,,,2014.1201,"2014.1201ENV,2014.1201ENX,2014.1201PPA,2014.1201SHD,2014.1201U",06/23/2016,On-site BMR Project,53,8,15,0,0,4,3,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,37.76542053,-122.4111278,"(37.76542053, -122.4111278)"
2019-008,33 Norfolk St,Construction,(4) Site Work Permit Issued,33 Norfolk St,94103,3521,"053A, 093",6,Mission,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,06/26/2019,,12/25/2019,12/31/2024,The International Land Group,,,2014.0008,,04/26/2019,On-site BMR Project,19,3,16,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,37.77119568,-122.4138117,"(37.77119568, -122.4138117)"
2019-026,55 Belcher St,Construction,(4) Site Work Permit Issued,55 Belcher St,94114,3537,100,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,02/15/2022,,11/19/2021,,Sia Consulting Corp,,,2016-003994PRJ,,11/21/2019,On-site BMR Project,25,5,20,0,0,3,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,37.76851061,-122.4297316,"(37.76851061, -122.4297316)"
2016-096,"HPSY II-CP, Block 7",Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94124,,,10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,Hunters Point Ship Yard II/Candlestick Point,Candlestick Point,New Construction,Rental,,06/01/2028,,,06/01/2028,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,60,59,98,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,37.71648001,-122.3871796,"(37.71648001, -122.3871796)"
2016-057,101 Hyde,Pre-Construction,(1) Preliminary Phase,101 Hyde St,94102,346,003A,5,Tenderloin,Downtown/Civic Center,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,101 Hyde,Not in an OCII Project Area,New Construction,Rental,,,,,,01/01/2035,,,,Not Yet Available,,,,85,84,99,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,37.78182944,-122.4156022,"(37.78182944, -122.4156022)"
2021-002,1055 Texas (formerly 999 Texas St),Pre-Construction,(3) Design with Entitlements Approved,1055 Texas St,94107,4224,178,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,07/17/2024,,01/13/2023,,TM Build LLC,,,2018-015815PRJ,"RA 2022089791, 2018-015815PRJ, 2018-015815AHB, 2018-015815ENV, Motion 2033, NSR 2021079436",01/14/2021,On-site BMR Project,25,6,24,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,0,0,0,0,37.75301524,-122.3943392,"(37.75301524, -122.3943392)"
2017-045,730 Stanyan,Construction,(5) First Construction Document Issued,700-730 Stanyan St,94117,1249,24,5,Haight Ashbury,Haight Ashbury,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Not in an OCII Project Area,New Construction,Rental,06/14/2023,12/01/2022,12/28/2022,06/15/2023,12/01/2022,09/09/2025,Chinatown Community Development Center,Tenderloin Neighborhood Development Corporation (TNDC),"730 Stanyan Associates, L.P.",2021-001053PRJ,SB35,06/15/2022,,160,159,99,0,35,42,42,40,0,0,32,127,0,20,32,0,32,0,40,16,0,36,0,39,28,0,0,0,0,0,0,0,0,37.76874685,-122.4529642,"(37.76874685, -122.4529642)"
2016-095,Hunters Point Shipyard Block 56,Construction,(5) First Construction Document Issued,11 Innes Ct,94124,4591C,"084, 085, 086, 087",10,Bayview Hunters Point,Bayview,OCII,MOHCD 100% Affordable,Multifamily Rental Program,,HP Shipyard Phase 1,New Construction,Rental,,05/25/2023,04/26/2021,03/15/2023,05/25/2023,01/31/2025,Mercy Housing CA,San Francisco Housing Development Corporation,Mercy Housing CA,Not Applicable,,08/02/2022,,73,72,99,0,4,18,31,16,2,1,11,72,0,0,0,0,0,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,37.72737552,-122.3682792,"(37.72737552, -122.3682792)"
2022-006,2055 Chestnut,Pre-Construction,(3) Design with Entitlements Approved,2055 Chestnut St,94123,491,9,2,Marina,Marina,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,03/22/2024,,Prado Group,,The Bruni Company,2018-009081PRJ,2018-009081CUA,03/24/2022,On-site BMR Project,49,9,18,0,0,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,2,0,0,0,0,0,37.8002534,-122.4368008,"(37.8002534, -122.4368008)"
2017-030,2670 Geary,Pre-Construction,(3) Design with Entitlements Approved,2670 Geary Blvd,94118,1071,3,2,Presidio Heights,Presidio Heights,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,,,11/29/2019,12/01/2026,RG Architecture,,,2014-002181PRJ,"2014-002181CUA,2014-002181ENV,2014-002181PPA,2014-002181TDM,2014-002181VAR",11/30/2017,On-site BMR Project,95,22,23,0,15,0,7,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,37.78285255,-122.4473419,"(37.78285255, -122.4473419)"
2011-034,Parkmerced - Phase IC & 1D,Pre-Construction,(3) Design with Entitlements Approved,101 Front Blvd,94132,7331,4,7,Lakeshore,Lakeshore,MOHCD,Inclusionary Housing,Inclusionary Housing Program,Parkmerced,Not in an OCII Project Area,New Construction,Rental,,,,,02/08/2013,,Maximus,,,2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,On-site BMR Project; Fee Payment,545,27,5,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,37.7149243,-122.4732882,"(37.7149243, -122.4732882)"
2018-033,1245 Folsom,Pre-Construction,(3) Design with Entitlements Approved,1245 Folsom St,94103,3756,41,6,South of Market,South of Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,07/01/2023,,,10/02/2020,,"Newbs 0168, LLC",,,2015-014148PRJ,,10/04/2018,On-site BMR Project,37,7,19,0,3,1,3,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,0,0,37.77418219,-122.4103757,"(37.77418219, -122.4103757)"
2018-008,600 Van Ness,Construction,(4) Site Work Permit Issued,600 Van Ness Ave,94102,763,"006, 007, 008, 009",5,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Rental,,,12/03/2018,,06/03/2019,,"Reuben, Junius & Rose, LLP",,,2015-012729PRJ,"2015-012729CUA,2015-012729ENV,2015-012729PPA,2015-012729SHD,2015-012729TDM",05/24/2018,On-site BMR Project,168,24,14,0,11,8,5,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,37.78132047,-122.420149,"(37.78132047, -122.420149)"
2016-108,Transbay Block 4E (Tower),Pre-Construction,(0) Multiphase Project before Predevelopment,Multiphase Project Address not Assigned,94105,,,6,Financial District/South Beach,South of Market,OCII,Inclusionary Housing,OCII Inclusionary Rental Program,Transbay,Transbay,New Construction,Rental,,05/15/2031,,,05/15/2031,,Multiphase Project Sponsor not Assigned,Multiphase Project Sponsor not Assigned,Multiphase Project Owner not Assigned,Not Applicable,,,,340,102,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,37.79000867,-122.393412,"(37.79000867, -122.393412)"
2001-015,The Dudley Apartments,Building Rehabilitation (Pre-Construction),(3) Design with Entitlements Approved,172-180 6th St,94103,3726,10,6,South of Market,South of Market,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,South of Market,Rehabilitation,Rental,,09/05/2018,09/24/2019,,09/05/2018,11/24/2025,Mercy Housing CA,,"Mercy Housing California XXII, LP",Not Applicable,,,,75,74,99,25,25,24,0,0,0,0,2,74,0,0,25,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,37.77983099,-122.4077527,"(37.77983099, -122.4077527)"
2021-029,240-250 Church,Pre-Construction,(3) Design with Entitlements Approved,240-250 Church St,94114,3543,3,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing,Inclusionary Housing Program,,Not in an OCII Project Area,New Construction,Ownership,,,,,12/01/2023,,Schaub Ly Architects,,,2019-022510PRJ,,12/02/2021,On-site BMR Project,24,3,13,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.76662772,-122.4290239,"(37.76662772, -122.4290239)"
2023-033,850 Turk,Construction,(4) Site Work Permit Issued,850 Turk St,94102,744,6,2,Western Addition,Downtown/Civic Center,MOHCD,MOHCD 100% Affordable,Multifamily Rental Program,,Western Addition-Area 2,New Construction,Rental,,04/29/2025,,,04/29/2025,,MidPen Housing,,"MP Turk Street Associates, L.P.",,,04/01/2022,,92,91,99,0,28,16,20,27,0,0,0,91,0,0,0,0,0,0,0,25,32,21,0,13,0,0,0,0,0,0,0,0,0,37.78193169,-122.4230346,"(37.78193169, -122.4230346)"
